location_id,score,confidence,reason
barnsley,2,Low,Industrial legacy and uneven renewal make the overall fabric less consistently cared-for; this is a coarse judgement.
birmingham,3,Low,"Major renewed central districts coexist with extensive uneven and deprived urban fabric, producing a mixed city-wide judgement."
blackburn,2,Low,Strong heritage assets are offset by visibly uneven town-centre and industrial-era fabric in this broad proxy assessment.
blackpool,2,Low,"Distinctive resort heritage is offset by concentrated deprivation and uneven upkeep, so pleasantness is not consistent town-wide."
bolton,2,Low,Civic and heritage pockets coexist with substantial deprived and uneven post-industrial fabric.
bradford,2,Low,"High-quality historic architecture is offset by vacancy, deprivation and uneven upkeep across the built-up area."
burnley,2,Low,"Industrial heritage and nearby landscape are positives, but deprivation and uneven town-centre fabric weaken the broad condition score."
burton-on-trent,3,Low,A serviceable centre and riverside assets are balanced by traffic-dominated and industrial urban fabric.
cardiff,4,Medium,"Substantial civic, park and renewed waterfront assets make the city broadly pleasant despite uneven inner corridors."
chester,5,Medium,"Exceptional historic fabric, river setting and generally strong public realm support a strongly favourable broad judgement."
chesterfield,4,Medium,A coherent historic centre and nearby landscape support a favourable judgement despite some post-industrial and arterial-road fabric.
coventry,3,Low,Major public-realm renewal and heritage pockets coexist with traffic-heavy and uneven reconstructed urban fabric.
darlington,3,Low,Victorian and civic assets are balanced by ordinary and sometimes uneven edge and centre fabric.
derby,3,Low,Renewal and historic pockets coexist with traffic-dominated approaches and extensive industrial urban form.
doncaster,2,Low,"Civic assets and renewal are offset by extensive post-industrial, logistics and deprived urban fabric."
gateshead,3,Low,Strong riverside cultural assets and regeneration coexist with large traffic corridors and uneven post-industrial fabric.
gloucester,4,Medium,"Historic core and renewed docks support a favourable broad judgement, although arterial and edge areas are mixed."
halifax,3,Low,Outstanding civic and industrial architecture is tempered by deprivation and uneven upkeep in parts of the town.
hartlepool,2,Low,"The marina and heritage areas are positives, while deprivation and extensive industrial/post-industrial fabric reduce consistency."
huddersfield,3,Low,Strong stone architecture and landscape setting are balanced by traffic-heavy approaches and uneven central upkeep.
hull-kingston-upon-hull,3,Low,Renewed old town and waterfront areas coexist with extensive deprived and industrial urban fabric.
ipswich,3,Low,"Waterfront renewal and historic fabric are balanced by uneven centre, arterial and industrial areas."
kettering,3,Low,Historic pockets and ordinary maintained suburbs are balanced by traffic and commercial-edge fabric.
lancaster,4,Medium,"Coherent historic architecture, river and nearby landscape support a favourable broad condition judgement."
leeds,4,Medium,"A strong renewed centre, civic fabric and parks support pleasantness, though conditions vary considerably."
leicester,3,Low,"Historic and renewed central pockets coexist with traffic-heavy and uneven fabric, yielding a mixed judgement."
lincoln,4,Medium,Cathedral-quarter heritage and a distinctive setting support a favourable judgement despite mixed lower-city approaches.
liverpool,4,Medium,"Exceptional civic and waterfront fabric plus renewal outweigh, but do not remove, marked variation and deprived areas."
loughborough,3,Low,A functional centre and greener university/residential fabric are balanced by ordinary industrial and arterial areas.
manchester,4,Medium,"Extensive renewal, civic architecture and active public realm support a favourable score despite pronounced spatial inequality."
merthyr-tydfil,2,Low,Dramatic landscape and heritage are offset by concentrated deprivation and uneven post-industrial town fabric.
middlesbrough,2,Low,"Regeneration and civic assets are outweighed in the broad screen by deprived, industrial and traffic-dominated fabric."
neath,3,Low,"Historic and landscape assets are balanced by traffic, industry and uneven post-industrial fabric."
newcastle-upon-tyne,4,Medium,"Strong historic streets, river setting and public realm support a favourable condition score despite uneven outer fabric."
newport,2,Low,"Riverfront renewal and heritage pockets are offset by substantial deprived, traffic-heavy and post-industrial fabric."
northampton,3,Low,Historic and maintained residential pockets are balanced by road-dominated growth and uneven central fabric.
norwich,5,Medium,"Exceptionally coherent historic fabric, waterways, parks and a generally attractive centre support the highest condition score."
nottingham,4,Medium,"Historic, civic and renewed central districts plus strong parks support a favourable score despite spatial variation."
peterborough,3,Low,Cathedral and riverside assets are balanced by traffic-dominated modern growth and uneven central/edge fabric.
plymouth,4,Medium,"Waterfront, parks and historic assets support a favourable judgement despite reconstructed and uneven inner fabric."
portsmouth,4,Medium,"Historic waterfront, seafront and coherent terraces support pleasantness, despite density and traffic pressure."
preston,3,Low,Civic and park assets are balanced by traffic-heavy approaches and uneven centre/industrial fabric.
rotherham,2,Low,"Renewal and heritage pockets are outweighed by extensive industrial, arterial and deprived urban fabric."
salford,3,Low,"Major waterfront regeneration coexists with traffic infrastructure, deprivation and highly uneven urban fabric."
sheffield,4,Medium,"Strong parks, stone neighbourhood fabric and renewed centre support a favourable judgement despite marked variation."
shrewsbury,5,Medium,"Exceptional historic fabric, river setting and coherent public realm support the highest broad condition score."
st-helens,2,Low,"Regeneration efforts are offset by extensive post-industrial, deprived and traffic-dominated fabric."
stafford,4,Medium,"Historic centre, waterways and generally maintained residential fabric support a favourable broad judgement."
stockport,4,Medium,"A strong historic market core, viaduct and generally attractive residential fabric support a favourable score despite traffic corridors."
stockton-on-tees,3,Low,"High-street and riverside renewal is balanced by industrial, deprived and uneven surrounding fabric."
stoke-on-trent,2,Low,"Ceramic heritage and renewal pockets are offset by vacancy, deprivation and fragmented post-industrial urban fabric."
sunderland,3,Low,"Seafront and renewed riverside/civic areas are positives, while deprived and post-industrial fabric remains extensive."
swansea,4,Medium,"Bay, parks and waterfront renewal support a favourable judgement despite uneven centre and post-industrial corridors."
swindon,3,Low,Maintained residential and park areas are balanced by road-dominated modern form and uneven central fabric.
telford,3,Low,"Green space and maintained newer districts are balanced by fragmented, car-oriented townscape and industrial edges."
torbay,4,Medium,"Coastal scenery, parks and resort heritage support a favourable score despite pockets of deprivation and uneven upkeep."
wakefield,3,Low,Historic and cultural assets are balanced by traffic infrastructure and uneven post-industrial urban fabric.
walsall,2,Low,"Civic and park pockets are outweighed by traffic-dominated, industrial and deprived urban fabric in the broad screen."
warrington,3,Low,"Waterways and maintained districts are balanced by logistics, road infrastructure and a mixed town centre."
wigan,3,Low,"Renewal and historic pockets are balanced by post-industrial, traffic-heavy and uneven centre fabric."
wolverhampton,2,Low,"Civic assets and renewal are offset by extensive deprived, traffic-dominated and post-industrial fabric."
worcester,5,Medium,"Coherent historic centre, river setting and generally attractive urban fabric support the highest condition score."
wrexham,3,Low,"Historic and maintained pockets are balanced by industrial edges and a mixed, sometimes uneven centre."
