location_id,assessment,confidence,evidence_ids,method_version,reason
barnsley,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Major radial roads, rail and nearby M1 create exposed corridors, but this is a mixed town-wide noise screen."
birmingham,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Dense road and rail corridors, airport influence and a large nightlife core make persistent noise exposure comparatively likely."
blackburn,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"The M65, arterial roads and rail create noisy corridors, while much of the wider urban area is less intensively active."
blackpool,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Visitor traffic, entertainment/nightlife and the promenade corridor raise evening and seasonal noise risk."
bolton,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M61 access, busy radial roads and rail create local noise pressure, with quieter residential parts away from them."
bradford,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Dense radial traffic, rail corridors, industry and a sizeable nightlife centre make quietness inconsistent."
burnley,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M65, rail and industrial corridors are conspicuous, but the town is less continuously busy than a major city."
burton-on-trent,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"The A38, railways and major brewing/industrial activity create conspicuous transport and industrial noise corridors."
cardiff,mixed_exposure,Medium,ENV002;ENV004;ENV005,broad-assessment-v1,"Capital-city traffic, dense rail approaches, major events and nightlife make central noise exposure comparatively likely."
chester,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"The A55 and railways are clear noise sources, but the compact city has many areas away from intensive urban activity."
chesterfield,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"The A61, rail and industrial corridors bring noise, while the town's scale leaves plausible calmer areas."
coventry,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"The inner ring road, motorway approaches, rail and a substantial night-time economy create widespread noise pressure."
darlington,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A1(M)/A66 approaches and a major rail corridor are conspicuous, but the town is not continuously high-intensity."
derby,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Ring roads, a major rail corridor, industry and proximity to East Midlands Airport increase transport-noise exposure."
doncaster,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Motorways, a nationally important railway and extensive logistics/industrial land create multiple persistent noise corridors."
gateshead,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"The A1/A184, rail, river crossings and adjacency to Newcastle's urban core make noise exposure likely."
gloucester,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M5 access, rail and industrial/port approaches create noise corridors, with calmer fabric beyond them."
halifax,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Valley roads, rail and town-centre activity create concentrated noise, while the wider hilly urban area is mixed."
hartlepool,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Port industry, rail and arterial traffic are conspicuous, but overall urban intensity is moderate."
huddersfield,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Ring-road traffic, rail and town-centre nightlife are evident, with lower-intensity residential areas beyond."
hull-kingston-upon-hull,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Port, industry, freight traffic and broad arterial roads create substantial persistent-noise exposure."
ipswich,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A14 approaches, rail and port activity create noise corridors, but the town's overall intensity is moderate."
kettering,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A14 traffic and the Midland Main Line are conspicuous, while the smaller town scale allows calmer areas."
lancaster,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M6 and West Coast Main Line corridors are clear sources, but the compact historic city has substantial lower-intensity fabric."
leeds,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Motorways, dense rail, arterial traffic, nightlife and airport influence make quietness inconsistent across the large city."
leicester,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Dense radial traffic, ring roads, rail and a large night-time economy create widespread urban noise pressure."
lincoln,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"The A46, rail, tourism and student/nightlife activity create concentrated noise, with calmer areas elsewhere."
liverpool,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Port activity, dense road and rail infrastructure and a major nightlife economy create substantial noise pressure."
loughborough,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M1 proximity, rail and university/nightlife activity create noise corridors but not continuous big-city intensity."
manchester,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Dense road, tram and rail networks, major nightlife and airport-related activity make persistent quiet comparatively scarce."
merthyr-tydfil,mixed_exposure,Medium,ENV002;ENV004;ENV005,broad-assessment-v1,"The A470, valley rail and industrial legacy create linear noise corridors, while surrounding low-density landscape moderates the town-wide picture."
middlesbrough,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A66 traffic, rail, port and heavy Teesside industry create conspicuous and persistent noise sources."
neath,mixed_exposure,Medium,ENV002;ENV004;ENV005,broad-assessment-v1,"M4, rail and nearby industry create strong linear noise sources, but the smaller centre and valley setting moderate intensity."
newcastle-upon-tyne,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A1/A167 traffic, rail, metro and a major nightlife core make central quietness comparatively weak."
newport,persistent_noise,Medium,ENV002;ENV004;ENV005,broad-assessment-v1,"M4, dense rail approaches, port industry and arterial traffic create multiple persistent noise corridors."
northampton,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M1/A45 traffic, a major rail corridor and extensive logistics activity create notable noise exposure."
norwich,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"With no urban motorway, noise is concentrated on ring roads, rail and the nightlife core rather than dominating city-wide."
nottingham,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Ring roads, rail, tram corridors and a major nightlife economy create substantial urban noise pressure."
peterborough,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A1/A47 traffic, a very busy rail corridor and logistics/industrial land create multiple persistent noise sources."
plymouth,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A38, rail, naval/port activity and nightlife create noise corridors, while coastal topography provides lower-intensity areas."
