location_id,score,confidence,reason
barnsley,3,High,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
birmingham,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
blackburn,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
blackpool,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
bolton,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
bradford,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
burnley,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
burton-on-trent,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
cardiff,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
chester,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
chesterfield,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
coventry,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
darlington,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
derby,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
doncaster,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
gateshead,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
gloucester,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
halifax,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
hartlepool,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
huddersfield,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
hull-kingston-upon-hull,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
ipswich,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
kettering,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
lancaster,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
leeds,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
leicester,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
lincoln,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
liverpool,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
loughborough,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
manchester,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
merthyr-tydfil,3,High,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
middlesbrough,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
neath,3,High,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
newcastle-upon-tyne,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
newport,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
northampton,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
norwich,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
nottingham,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
peterborough,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
plymouth,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
portsmouth,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
preston,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
rotherham,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
salford,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
sheffield,5,High,"Broad screen indicates a dense multimodal network; this is a town-level judgement, not a neighbourhood accessibility audit."
shrewsbury,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
st-helens,3,High,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
stafford,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
stockport,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
stockton-on-tees,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
stoke-on-trent,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
sunderland,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
swansea,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
swindon,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
telford,3,High,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
torbay,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
wakefield,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
walsall,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
warrington,4,Medium,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
wigan,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
wolverhampton,4,High,"Broad screen indicates a useful town/city bus-and-rail network; this is a town-level judgement, not a neighbourhood accessibility audit."
worcester,3,Medium,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
wrexham,3,High,"Broad screen indicates basic bus and rail coverage with less network depth; this is a town-level judgement, not a neighbourhood accessibility audit."
