location_id,proxyMedian,transactions,housingCostConfidence,oneBedCount,housingCostReason
barnsley,100000,214,High,25,"Median of 214 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
birmingham,150000,3183,High,854,"Median of 3183 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
blackburn,110000,141,High,8,"Median of 141 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
blackpool,80000,297,High,77,"Median of 297 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
bolton,114000,493,High,64,"Median of 493 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
bradford,99000,453,High,76,"Median of 453 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
burnley,88625,98,Medium,5,"Median of 98 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
burton-on-trent,104000,147,High,26,"Median of 147 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
cardiff,165000,1883,High,259,"Median of 1883 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
chester,165000,570,High,43,"Median of 570 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
chesterfield,115500,204,High,14,"Median of 204 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
coventry,135000,830,High,88,"Median of 830 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
darlington,95000,220,High,23,"Median of 220 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
derby,125000,532,High,73,"Median of 532 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
doncaster,108000,281,High,25,"Median of 281 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
gateshead,101000,597,High,32,"Median of 597 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
gloucester,145000,681,High,74,"Median of 681 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
halifax,127500,216,High,34,"Median of 216 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
hartlepool,83014,106,High,16,"Median of 106 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
huddersfield,110000,288,High,33,"Median of 288 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
hull-kingston-upon-hull,95000,406,High,92,"Median of 406 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
ipswich,137000,545,High,117,"Median of 545 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
kettering,129475,210,High,15,"Median of 210 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
lancaster,130000,231,High,26,"Median of 231 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
leeds,155000,2152,High,453,"Median of 2152 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
leicester,130000,803,High,190,"Median of 803 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
lincoln,118000,285,High,47,"Median of 285 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
liverpool,145000,2356,High,965,"Median of 2356 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate."
