location_id,assessment,confidence,evidence_ids,method_version,reason
barnsley,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Industrial legacy and uneven renewal make the overall fabric less consistently cared-for; this is a coarse judgement.
birmingham,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Major renewed central districts coexist with extensive uneven and deprived urban fabric, producing a mixed city-wide judgement."
blackburn,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Strong heritage assets are offset by visibly uneven town-centre and industrial-era fabric in this broad proxy assessment.
blackpool,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Distinctive resort heritage is offset by concentrated deprivation and uneven upkeep, so pleasantness is not consistent town-wide."
bolton,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Civic and heritage pockets coexist with substantial deprived and uneven post-industrial fabric.
bradford,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"High-quality historic architecture is offset by vacancy, deprivation and uneven upkeep across the built-up area."
burnley,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Industrial heritage and nearby landscape are positives, but deprivation and uneven town-centre fabric weaken the broad condition score."
burton-on-trent,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,A serviceable centre and riverside assets are balanced by traffic-dominated and industrial urban fabric.
cardiff,favourable,Medium,ENV002;ENV004;ENV005,broad-assessment-v1,"Substantial civic, park and renewed waterfront assets make the city broadly pleasant despite uneven inner corridors."
chester,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Exceptional historic fabric, river setting and generally strong public realm support a strongly favourable broad judgement."
chesterfield,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,A coherent historic centre and nearby landscape support a favourable judgement despite some post-industrial and arterial-road fabric.
coventry,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Major public-realm renewal and heritage pockets coexist with traffic-heavy and uneven reconstructed urban fabric.
darlington,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Victorian and civic assets are balanced by ordinary and sometimes uneven edge and centre fabric.
derby,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Renewal and historic pockets coexist with traffic-dominated approaches and extensive industrial urban form.
doncaster,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Civic assets and renewal are offset by extensive post-industrial, logistics and deprived urban fabric."
gateshead,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Strong riverside cultural assets and regeneration coexist with large traffic corridors and uneven post-industrial fabric.
gloucester,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Historic core and renewed docks support a favourable broad judgement, although arterial and edge areas are mixed."
