location_id,towerSignal,reason
barnsley,Unclear,"Rightmove's filtered snapshot returned 25 sale and 21 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
birmingham,Unclear,"Rightmove's filtered snapshot returned 854 sale and 1257 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
blackburn,Unclear,"Rightmove's filtered snapshot returned 8 sale and 2 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
blackpool,Unclear,"Rightmove's filtered snapshot returned 77 sale and 75 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
bolton,Unclear,"Rightmove's filtered snapshot returned 64 sale and 78 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
bradford,Unclear,"Rightmove's filtered snapshot returned 76 sale and 91 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
burnley,Unclear,"Rightmove's filtered snapshot returned 5 sale and 22 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
burton-on-trent,Unclear,"Rightmove's filtered snapshot returned 26 sale and 34 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
cardiff,Unclear,"Rightmove's filtered snapshot returned 259 sale and 468 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
chester,Unclear,"Rightmove's filtered snapshot returned 43 sale and 54 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
chesterfield,Unclear,"Rightmove's filtered snapshot returned 14 sale and 31 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
coventry,Unclear,"Rightmove's filtered snapshot returned 88 sale and 184 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
darlington,Unclear,"Rightmove's filtered snapshot returned 23 sale and 24 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
derby,Unclear,"Rightmove's filtered snapshot returned 73 sale and 214 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
doncaster,Unclear,"Rightmove's filtered snapshot returned 25 sale and 27 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
gateshead,Unclear,"Rightmove's filtered snapshot returned 32 sale and 27 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
gloucester,Unclear,"Rightmove's filtered snapshot returned 74 sale and 65 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
halifax,Unclear,"Rightmove's filtered snapshot returned 34 sale and 49 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
hartlepool,Unclear,"Rightmove's filtered snapshot returned 16 sale and 9 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
huddersfield,Unclear,"Rightmove's filtered snapshot returned 33 sale and 91 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
hull-kingston-upon-hull,Unclear,"Rightmove's filtered snapshot returned 92 sale and 128 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
ipswich,Unclear,"Rightmove's filtered snapshot returned 117 sale and 80 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
kettering,Unclear,"Rightmove's filtered snapshot returned 15 sale and 30 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
lancaster,Unclear,"Rightmove's filtered snapshot returned 26 sale and 9 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
leeds,Unclear,"Rightmove's filtered snapshot returned 453 sale and 627 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
leicester,Unclear,"Rightmove's filtered snapshot returned 190 sale and 386 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
lincoln,Unclear,"Rightmove's filtered snapshot returned 47 sale and 68 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
liverpool,Unclear,"Rightmove's filtered snapshot returned 965 sale and 347 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
loughborough,Unclear,"Rightmove's filtered snapshot returned 17 sale and 20 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
manchester,Unclear,"Rightmove's filtered snapshot returned 1372 sale and 1456 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
merthyr-tydfil,Unclear,"Rightmove's filtered snapshot returned 3 sale and 3 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
middlesbrough,Unclear,"Rightmove's filtered snapshot returned 14 sale and 50 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
neath,Unclear,"Rightmove's filtered snapshot returned 3 sale and 3 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
newcastle-upon-tyne,Unclear,"Rightmove's filtered snapshot returned 119 sale and 124 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
newport,Unclear,"Rightmove's filtered snapshot returned 31 sale and 43 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
northampton,Unclear,"Rightmove's filtered snapshot returned 104 sale and 137 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
norwich,Unclear,"Rightmove's filtered snapshot returned 144 sale and 112 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
nottingham,Unclear,"Rightmove's filtered snapshot returned 225 sale and 509 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
peterborough,Unclear,"Rightmove's filtered snapshot returned 91 sale and 134 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
plymouth,Unclear,"Rightmove's filtered snapshot returned 147 sale and 124 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
portsmouth,Unclear,"Rightmove's filtered snapshot returned 177 sale and 176 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
preston,Unclear,"Rightmove's filtered snapshot returned 72 sale and 136 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
rotherham,Unclear,"Rightmove's filtered snapshot returned 19 sale and 25 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
salford,Unclear,"Rightmove's filtered snapshot returned 513 sale and 531 rental results; these are portal headline counts, not deduplicated properties, and the query does not verify tower stock."
